node,timestamp,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,raw_score,norm_score,anom_30,anom_50,topology,model
p1,2026-05-27 11:33:06.028545,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.949410563753501,1.9898821127507003,1.9898821127507003,6.632940375835667,0.11030456522826693,53.96972325557009,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:09.060089,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.895947411615996,1.9791894823231992,1.9791894823231992,6.597298274410663,0.11744531629854804,55.521443500669164,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:12.075905,3.0,0.0,257.0,0.0,0.25925925925925924,0.7407407407407407,10.279141698299895,2.3210965125193312,2.6526817285935214,6.631704321483804,0.0776359024603458,46.87066254075619,False,True,dumbbell,per_topo
p1,2026-05-27 11:33:15.090630,3.0,0.0,258.0,0.0,0.25925925925925924,0.7407407407407407,10.282861620877526,2.321936495036861,1.9902312814601664,6.6341042715338885,0.09612581563742628,50.88861139860241,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:18.106520,3.0,0.0,258.0,0.0,0.24,0.76,9.615735321911608,1.989462480395505,2.3210395604614225,6.2999645212524324,0.09926435516336019,51.57063143746137,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:21.121853,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.949149894887231,1.9898299789774463,1.6581916491478719,6.6327665965914875,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:24.137112,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.9493940653191,1.9898788130638199,1.9898788130638199,6.6329293768793995,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:27.152660,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.94844054878251,1.989688109756502,1.989688109756502,6.63229369918834,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:30.167654,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,10.281944176339985,2.321729330141287,2.321729330141287,6.633512371832249,0.09078200085910004,49.72737422677336,False,True,dumbbell,per_topo
p1,2026-05-27 11:33:33.183486,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,10.279087164006484,2.3210841983240447,1.6579172845171746,6.631669138068698,0.0718571064480722,45.614901812467735,False,True,dumbbell,per_topo
