topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
tree,ifa,12.0,1,2,router,0.6700000932667606,0.3400000375463292,0.3400000375463292,0.06825424092815398,0.022802605716334322,0.8,0.0,0.02249286968419144,1.0,11.996627090301004,11.996628093645484,2.5863749596133414e-202,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0000000842155403,2.2836944743048204e-203
tree,ifa,12.0,1,3,router,1.0000000353912584,0.3366666701587499,0.3366666701587499,0.16868383860050526,0.024195174919936637,0.6087984986062608,0.0,0.023697468418183158,1.0,11.996627090301004,11.996627090301004,5.092265844560576e-194,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0,4.496323807270015e-195
tree,ifa,12.0,1,4,router,0.6666667126708652,0.3333334231080107,0.3333334231080107,0.11686113886113887,0.08761239827095814,0.576667106153205,0.0,0.08677108417449789,1.0,3.6418198290593655e-96,1.8909405551839756e-174,1.8909405551839756e-174,0.0,1.0,1.0,0.0,3.7869018387886765e-79,0.7290969899665551
tree,ifa,12.0,1,5,router,0.6666666243578683,0.3333333114369584,0.3333333114369584,0.12204829429829431,0.07755778837480361,0.4284046933337204,0.0,0.076454151057957,1.0,1.9093608311374927e-109,8.805388926053107e-153,8.805388926053107e-153,0.0,1.0,1.0,0.0,3.8415796599692897e-44,0.8327759197324415
tree,ifa,12.0,1,6,attacker,9.988333299999999,0.3299999651950502,0.3333333318617169,0.9654545454545455,0.034273795021958875,0.0013333333333333335,0.0,0.034133879054547664,1.0,21.996655551839464,11.996655183946487,1.312102844101965e-134,0.45387567693805875,0.000783984032862074,0.5420965753088213,0.0,0.5453832581471647,1.1583617216377112e-135
tree,ifa,12.0,1,7,benign_consumer,9.988333299999999,0.33000009209258313,0.33333339209258317,0.9654242424242424,0.03450213350413026,0.0013333333333333335,0.0,0.03399185383337538,1.0,10.0,3.663259602378636e-154,3.663259602378636e-154,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.6632596023786362e-155,0.8260869565217391
tree,ifa,12.0,1,8,benign_consumer,9.988333299999999,0.3300000210726942,0.3333333544060276,0.9654545454545455,0.034243824455873394,0.0013333333333333335,0.0,0.03410391182185552,1.0,10.0,4.100320664717012e-131,4.100320664717012e-131,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,4.1003206647170124e-132,0.9364548494983278
tree,ifa,12.0,1,9,benign_consumer,9.988333299999999,0.329999991598171,0.3333333582648377,0.9653939393939394,0.0348152254023264,0.0013333333333333335,0.0,0.03386461237722141,1.0,10.0,3.6418198290593655e-96,3.6418198290593655e-96,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.6418198290593657e-97,1.0
tree,ifa,12.0,1,10,benign_consumer,9.988333299999999,0.3299999856652093,0.333333352331876,0.9654545454545455,0.03419076661499551,0.0013333333333333335,0.0,0.0340508506475843,1.0,10.0,1.909360831137492e-109,1.909360831137492e-109,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.9093608311374923e-110,1.0
tree,ifa,12.0,1,11,benign_consumer,9.988333299999999,0.32999993869265887,0.3333332720259922,0.9653939393939394,0.03486757863896404,0.0013333333333333335,0.0,0.033916968947252386,1.0,10.0,8.008444942762137e-125,8.008444942762137e-125,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,8.008444942762137e-126,0.9665551839464883
tree,ifa,12.0,2,0,router,0.3333333486083269,0.3333333486083269,0.3333333486083269,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,11.98325016722408,11.98325016722408,1.5862545973691594e-190,0.0,0.0003073236405224796,0.9569028424912213,0.0,1.0,1.4576057213605892e-191
tree,ifa,12.0,2,1,router,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,1.0,0.8,0.0,1.0,1.0,0.013377926421404762,0.013377926421404762,1.3625667592391222e-212,0.0,0.010861601455394908,0.9968784838350055,0.0,1.0,0.0033444816053511705
